"Date","volume","leafmass","Leaf_Count","Leaf_Count_SE","leafmass_SE"
2013-03-07,10,2.74055403726708,62,3.34448424323876,0.147834512828776
2013-03-07,1000,5.13528754748839,78,5.53647168814576,0.364504796373807
2013-03-07,15,2.47612173913044,49,3.54663342001491,0.179222369633172
2013-03-07,20,2.13843734637241,51,2.83164069967071,0.118731102425175
2013-03-07,25,2.96900452173913,63,3.23540915423448,0.15247530807299
2013-03-07,35,3.77789299635896,64,4.44515778475767,0.262395788480414
2013-03-07,25,2.33238260869565,56,4.09501978462958,0.170556302284547
2013-03-22,10,2.61309813664596,58,3.12101501228541,0.140612388155984
2013-03-22,1000,9.38523183983598,127,10.1532346309385,0.750318590044168
2013-03-22,15,2.83519432120674,53,3.5198118995682,0.188289636025881
2013-03-22,20,2.14320507466632,51,2.82747177167019,0.118820624500379
2013-03-22,25,3.42669913043478,70,5.14723071198781,0.251971585784512
2013-03-22,35,5.18582994217177,80,6.10325360834663,0.395630441335398
2013-03-22,25,2.33238260869565,56,4.34146486692921,0.180820663426587
2013-04-08,10,2.57699710144928,56,1.91781243481926,0.0882535193866539
2013-04-08,1000,16.6904167460652,201,11.5610378587687,0.959992735720829
2013-04-08,15,3.0130598757764,53,3.06727293622627,0.174375037966004
2013-04-08,20,2.06434934320074,49,2.96502668115392,0.124915324118628
2013-04-08,25,3.77563333167702,74,5.91435472699556,0.301762633008189
2013-04-08,35,6.28219767830371,88,8.50956511301832,0.60748602495884
2013-04-08,25,1.9991850931677,48,4.22335585688414,0.175901459838027
2013-04-17,10,2.23336149068323,48,2.14058637038374,0.0995979826478425
2013-04-17,1000,19.6838578303081,224,12.9973865521429,1.14213709400866
2013-04-17,15,2.81408965394854,48,2.98104457981987,0.174769306458968
2013-04-17,20,1.98272645962733,47,3.16046795809148,0.133326456283241
2013-04-17,25,3.43975799254658,66,6.31626323800124,0.329188135696105
2013-04-17,35,6.43835454272864,86,8.34654268981389,0.624860477244672
2013-04-17,25,1.62433788819876,39,4.44848268865094,0.185277922465949
2013-05-01,10,1.79825755693582,38,1.500574967957,0.0710110598915102
2013-05-01,1000,21.7510432611711,228,12.8168592497379,1.22271956146224
2013-05-01,15,2.51701437444543,41,3.62732735421122,0.222683782716311
2013-05-01,20,2.1559190167834,51,4.92910577868741,0.208367703608023
2013-05-01,25,3.1754752795031,59,5.86429744531168,0.315625958800685
2013-05-01,35,6.10064647676162,76,8.13947991476763,0.653369598219725
2013-05-01,25,1.3744397515528,33,3.82286950414783,0.159221327621203
2013-05-16,10,1.63789896480331,34,1.58873542878393,0.076534944533869
2013-05-16,1000,23.5892803714648,228,11.3869029694433,1.17810897679326
2013-05-16,15,2.44536574977817,38,2.99512924404132,0.192741749198359
2013-05-16,20,2.16068674507731,51,5.62956237773782,0.238504329611059
2013-05-16,25,3.22754941614907,58,5.80078278762996,0.322798501714184
2013-05-16,35,6.11061218676376,71,6.97808996256617,0.600569036135081
2013-05-16,25,1.20784099378882,29,3.23457388979668,0.134718997983979
